ID,EN-US,ES-ES
200,"","PLEGARIA EUCARÍSTICA IV"
201,"",""
202,"",""
203,"",""
204,"","PREFACIO PARA ADVIENTO Y NAVIDAD"
205,"PREFACE","PREFACIO PARA EL TIEMPO PASCUAL"
206,"EXULTET","PREGÓN PASCUAL"
207,"",""
208,"","SALMODIA PARA EL EVANGELIO"
209,"","SALMODIA PARA EL ROSARIO"
210,"","SALMODIA PARA EL SALMO RESPONSORIAL"
211,"PRAYER OF THE FAITHFUL IN A SOLEMNITY","SALMODIAS PARA LA ORACIÓN DE LOS FIELES"
212,"","SALMODIAS PARA LAUDES"
213,"",""
214,"HOLY, HOLY, HOLY - ADVENT: HOLY OF THE SHANTY TOWN","SANTO PALOMERAS 65"
215,"HOLY, HE'S HOLY - LENTEN SEASON","SANTO HEBREO"
216,"HOLY, HOLY, HOLY - EASTER: HOSANNA OF THE PALMS","SANTO PALESTINA 74"
217,"HOLY, HOLY, HOLY - ORDINARY TIME","SANTO ROMA 77"
218,"HOLY, HOLY, HOLY - 1983","SANTO 1982"
219,"HOLY, HOLY, HOLY - ORDINARY TIME - 1988","SANTO 1988"
220,"TE DEUM","TE DEUM"
221,"YOU ARE THE WAY","COMO EL IMPULSO QUE SIENTE LA IRA"
222,"WHILE I WAS SLEEPING","CUANDO DORMÍA"
223,"SONG OF DEBORAH","DÉBORA"
224,"THE SAME GOD","EL MISMO DIOS"
225,"THE SOWER","EL SEMBRADOR"
226,"BEHOLD OUR MIRROR","HE AQUÍ QUE NUESTRO ESPEJO ES EL SEÑOR"
227,"HYMN TO THE GLORIOUS CROSS","HIMNO A LA CRUZ GLORIOSA"
228,"JACOB","JACOB"
229,"NO ONE CAN SERVE TWO MASTERS","NINGUNO PUEDE SERVIR A DOS SEÑORES"
230,"DO NOT RESIST EVIL","NO RESISTÁIS AL MAL"
231,"DO NOT GET ANGRY BECAUSE OF THE WICKED","NO SUFRAS POR LOS MALVADOS"
232,"O LORD, MY HEART HAS NO MORE PRETENSIONS","OH SEÑOR, MI CORAZÓN YA NO ES AMBICIOSO"
233,"LORD YOU SEARCH ME","SEÑOR, TÚ ME ESCRUTAS Y CONOCES"
234,"SHEMA ISRAEL","SHEMÁ LSRAEL"
235,"SIT DOWN ALONE AND IN SILENCE","SIÉNTATE SOLITARIO Y SILENCIOSO"
